transaction_id,amount,currency,status
TX_9000_001,1200.00,USD,COMPLETED
TX_9000_002,350.50,EUR,COMPLETED
TX_9000_003,25000.00,USD,PENDING
TX_9000_004,89.90,USD,FAILED
TX_9000_005,41200.00,EUR,COMPLETED
TX_9000_002,350.50,EUR,COMPLETED
TX_9000_006,750.00,USD,COMPLETED
TX_9000_007,115.00,EUR,PENDING
TX_9000_008,9300.15,USD,PROCESSING
,500.00,USD,COMPLETED
TX_9000_009,620.00,USD,COMPLETED
TX_9000_010,1450.00,EUR,COMPLETED
TX_9000_011,220.00,USD,FAILED
TX_9000_012,18500.00,USD,COMPLETED
TX_9000_013,430.00,EUR,PENDING
TX_9000_003,25000.00,USD,PENDING
TX_9000_014,55.00,USD,COMPLETED
TX_9000_015,3200.00,USD,COMPLETED
TX_9000_016,125000.00,EUR,PROCESSING
TX_9000_017,850.00,USD,FAILED
TX_9000_018,210.00,EUR,COMPLETED
,99.99,USD,PENDING
TX_9000_019,6700.00,USD,COMPLETED
TX_9000_020,1100.50,USD,COMPLETED
TX_9000_021,450.00,EUR,COMPLETED
TX_9000_022,13500.00,USD,PENDING
TX_9000_023,720.00,USD,FAILED
TX_9000_024,3100.00,EUR,COMPLETED
TX_9000_025,95.00,USD,COMPLETED
TX_9000_026,1800.00,USD,PROCESSING
TX_9000_027,240.00,EUR,PENDING
TX_9000_028,16500.00,USD,COMPLETED
TX_9000_029,520.00,USD,COMPLETED
TX_9000_012,18500.00,USD,COMPLETED
TX_9000_030,89000.00,EUR,COMPLETED
TX_9000_031,130.00,USD,FAILED
TX_9000_032,410.00,EUR,COMPLETED
TX_9000_033,2300.00,USD,PENDING
TX_9000_034,7050.00,USD,COMPLETED
,0.00,USD,FAILED
TX_9000_035,6150.00,EUR,COMPLETED
TX_9000_036,340.00,USD,COMPLETED
TX_9000_037,120.00,USD,FAILED
TX_9000_038,19500.00,USD,COMPLETED
TX_9000_039,880.00,EUR,PENDING
TX_9000_040,5400.00,USD,COMPLETED
TX_9000_020,1100.50,USD,COMPLETED
TX_9000_041,320.00,USD,COMPLETED
TX_9000_042,150.00,EUR,FAILED
TX_9000_043,74500.00,USD,COMPLETED
