transaction_id,product_name,revenue
TXN-1D2BFDF0FFC7,Cloud Gateway Pro,5765.05
TXN-2DF66E06E079,Data Pipeline Ingestor,99999.99
TXN-6B2ED65CA45B,Enterprise Security Shield,6125.38
TXN-97D913027033,Cloud Gateway Pro,99999.99
TXN-10B1F30E5602,Data Pipeline Ingestor,99999.99
TXN-7750EED9096B,AI Analytics Node,99999.99
TXN-D97A759A453E,Cloud Gateway Pro,2080.7
TXN-15AC0B4E9744,Cloud Gateway Pro,2274.69
TXN-96A9ACB4E6EF,AI Analytics Node,4611.54
TXN-0F5EF959C81B,Data Pipeline Ingestor,99999.99
TXN-10B424C6C0E6,Quantum Ledger Core,99999.99
TXN-589109587C6D,Quantum Ledger Core,99999.99
TXN-FAB9B836F0A0,AI Analytics Node,2420.86
TXN-B423768631B6,Cloud Gateway Pro,5757.69
TXN-F48F69B630BB,AI Analytics Node,99999.99
TXN-2B4AF64C7615,Quantum Ledger Core,1563.52
TXN-7A468725BEC9,AI Analytics Node,4423.37
TXN-FEB4C304F1D6,Data Pipeline Ingestor,4198.35
TXN-3D6757C283C2,Data Pipeline Ingestor,99999.99
TXN-AE95F6DAAA13,Enterprise Security Shield,2422.8
TXN-4F3DEC959AE2,Quantum Ledger Core,6955.46
TXN-C50D6A3660FD,Quantum Ledger Core,4591.78
TXN-6667CA1D956D,Quantum Ledger Core,2691.45
TXN-BAB1EF3C2B86,Cloud Gateway Pro,99999.99
TXN-7CCCABD5B05F,Data Pipeline Ingestor,3524.07
TXN-3DF212BCB42A,Data Pipeline Ingestor,99999.99
TXN-527F4393DF2B,Enterprise Security Shield,99999.99
TXN-3AB9A2A7C846,Quantum Ledger Core,4306.23
TXN-7F17CC9EDF0B,AI Analytics Node,99999.99
TXN-016033C5025D,Data Pipeline Ingestor,1165.57
TXN-04BBD916DBAE,Cloud Gateway Pro,99999.99
TXN-4546486E44B6,Quantum Ledger Core,99999.99
TXN-D5713C847024,Cloud Gateway Pro,99999.99
TXN-C49E2D6F7CF9,Enterprise Security Shield,99999.99
TXN-8D9E65DA473B,Cloud Gateway Pro,3795.62
TXN-022748F0BFB1,Quantum Ledger Core,1071.42
TXN-8695302402CC,AI Analytics Node,3314.94
TXN-FC7F1D1E1CA0,Enterprise Security Shield,99999.99
TXN-6BB7C36599D5,Enterprise Security Shield,99999.99
TXN-7A8343A15A3E,Cloud Gateway Pro,4493.6
TXN-07A4C84B5835,Cloud Gateway Pro,2789.52
TXN-9207DD8C01F2,Cloud Gateway Pro,99999.99
TXN-90D7C9751E80,Cloud Gateway Pro,6751.76
TXN-58F5D72F258F,Enterprise Security Shield,99999.99
TXN-166454F8ECD7,AI Analytics Node,99999.99
TXN-641649140456,Quantum Ledger Core,1874.4
TXN-545C4D921DEF,Cloud Gateway Pro,3845.45
TXN-C3045C36E06D,Cloud Gateway Pro,99999.99
TXN-22D08BC0E3EE,Quantum Ledger Core,99999.99
TXN-88DAEA1766F3,Cloud Gateway Pro,99999.99
TXN-1D7B8E029054,Data Pipeline Ingestor,3940.93
TXN-C8D1BA65CAC9,Data Pipeline Ingestor,99999.99
TXN-7E49A7ED1FE3,Quantum Ledger Core,3063.82
TXN-648880FCFA11,Cloud Gateway Pro,99999.99
TXN-8171DCBAA3F7,Enterprise Security Shield,5247.47
TXN-53A915A2E153,AI Analytics Node,2015.25
TXN-05480811FF7B,Data Pipeline Ingestor,3729.22
TXN-D0644545674E,Data Pipeline Ingestor,99999.99
TXN-A4709C311978,Enterprise Security Shield,99999.99
TXN-7A3CEF30588F,Cloud Gateway Pro,3268.59
TXN-139ADF0C47A8,Cloud Gateway Pro,6411.8
TXN-992BFF3A96CD,Cloud Gateway Pro,68.62
TXN-E16C7E1EDBD7,Data Pipeline Ingestor,99999.99
TXN-3EF38A45E1F3,Cloud Gateway Pro,99999.99
TXN-6E748AC20E66,Data Pipeline Ingestor,99999.99
TXN-78C7D16311A6,Cloud Gateway Pro,3431.78
TXN-DC0FD8D20B01,Data Pipeline Ingestor,5425.85
TXN-C8124CEE6F5D,Cloud Gateway Pro,99999.99
TXN-C8E0F84E965E,Cloud Gateway Pro,99999.99
TXN-C2EC0842D584,Enterprise Security Shield,1546.58
TXN-03D60CBFF5D1,Data Pipeline Ingestor,99999.99
TXN-01B5E994E9DC,AI Analytics Node,99999.99
TXN-357A291BDE03,Data Pipeline Ingestor,3395.45
TXN-4D7D1835E74E,Cloud Gateway Pro,99999.99
TXN-2F4DD815BAD0,Quantum Ledger Core,99999.99
TXN-85E1A7A04232,Enterprise Security Shield,99999.99
TXN-56C955CC7D26,Data Pipeline Ingestor,99999.99
TXN-ACC6B16BDDF1,Enterprise Security Shield,671.96
TXN-70FB9DAE4520,Cloud Gateway Pro,99999.99
TXN-FDAF610F221B,Cloud Gateway Pro,99999.99
TXN-EEA4E375382C,AI Analytics Node,3659.28
TXN-D25F34286F65,AI Analytics Node,99999.99
TXN-52AB8D035F23,Cloud Gateway Pro,99999.99
TXN-E413531DB497,Data Pipeline Ingestor,99999.99
TXN-5ACFABBDFCFE,Quantum Ledger Core,99999.99
TXN-6E4E645D7AC3,Cloud Gateway Pro,5880.91
TXN-0BF2249D26D3,Enterprise Security Shield,1769.3
TXN-34DF4C392F5E,Cloud Gateway Pro,99999.99
TXN-F309551018AC,Enterprise Security Shield,99999.99
